Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
Event,,,,,,,,
"Event / equipmentDetails",equipmentDetails,EquipmentDetails,,,,,"Equipment-specific details",
"Event / equipmentDetails / emptyIndicatorCode",emptyIndicatorCode,string,,,,LADEN,"Code to denote whether the equipment is empty or laden.
- `EMPTY` - Empty
- `LADEN` - Laden",
"Event / equipmentDetails / equipmentReference",equipmentReference,string,,maxLength=11,,APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.

According to ISO 6346, a container identification code consists of a 4-letter prefix and a 7-digit number
(composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with ISO 6346, it is suggested to follow
[Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations)
from SMDG.",
"Event / equipmentDetails / ISOEquipmentCode",ISOEquipmentCode,string,,maxLength=4,,22GP,"Unique code identifying the equipment size and type used to transport commodities.
The code can refer to either the ISO size type (e.g. 22G1) or the ISO type group (e.g. 22GP)
following the [ISO 6346](https://en.wikipedia.org/wiki/ISO_6346) standard.",
"Event / equipmentDetails / movementType",movementType,string,,,,EXPORT,"Code used to denote the type of movement
- `IMPORT` - Import movement
- `EXPORT` - Export movement
- `TRANSSHIPMENT` - Transshipment movement",
"Event / equipmentDetails / seals",seals,"Seal list",,,,,,
"Event / equipmentDetails / seals / number",number,string,,maxLength=15,,VET123,"Identifies a seal affixed to the container.",
"Event / equipmentDetails / seals / placement",placement,string,,maxLength=10,,DOOR,"Placement of the seal.
- `DOOR` (Door)
- `VENT` (Vent)",
"Event / equipmentDetails / seals / source",source,string,,maxLength=10,,CUS,"The source of the seal, namely who has affixed the seal.
- `CAR` (Carrier)
- `CNS` (Consolidator)
- `CST` (Customer)
- `CUS` (Customs)
- `PHY` (Phytosanitary)
- `SHI` (Shipper)
- `TER` (Terminal)
- `VET` (Veterinary)

In [UN/EDIFACT 16A 9303](https://unece.org/fileadmin/DAM/trade/untdid/d16a/tred/tred9303.htm),
both VET (Veterinary) and PHY (Phytosanitary) map to AC (Quarantine agency).",
